lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR,depth
-90,-180,,,,,,,,,5
-90,-179,,,,,,,,,5
-90,-178,,,,,,,,,5
-90,-177,,,,,,,,,5
-90,-176,,,,,,,,,5
-90,-175,,,,,,,,,5
-90,-174,,,,,,,,,5
-90,-173,,,,,,,,,5
-90,-172,,,,,,,,,5
-90,-171,,,,,,,,,5
-90,-170,,,,,,,,,5
-90,-169,,,,,,,,,5
-90,-168,,,,,,,,,5
-90,-167,,,,,,,,,5
-90,-166,,,,,,,,,5
-90,-165,,,,,,,,,5
-90,-164,,,,,,,,,5
-90,-163,,,,,,,,,5
-90,-162,,,,,,,,,5
-90,-161,,,,,,,,,5
-90,-160,,,,,,,,,5
-90,-159,,,,,,,,,5
-90,-158,,,,,,,,,5
-90,-157,,,,,,,,,5
-90,-156,,,,,,,,,5
-90,-155,,,,,,,,,5
-90,-154,,,,,,,,,5
-90,-153,,,,,,,,,5
-90,-152,,,,,,,,,5
-90,-151,,,,,,,,,5
-90,-150,,,,,,,,,5
-90,-149,,,,,,,,,5
-90,-148,,,,,,,,,5
-90,-147,,,,,,,,,5
-90,-146,,,,,,,,,5
-90,-145,,,,,,,,,5
-90,-144,,,,,,,,,5
-90,-143,,,,,,,,,5
-90,-142,,,,,,,,,5
-90,-141,,,,,,,,,5
-90,-140,,,,,,,,,5
-90,-139,,,,,,,,,5
-90,-138,,,,,,,,,5
-90,-137,,,,,,,,,5
-90,-136,,,,,,,,,5
-90,-135,,,,,,,,,5
-90,-134,,,,,,,,,5
-90,-133,,,,,,,,,5
-90,-132,,,,,,,,,5
-90,-131,,,,,,,,,5
-90,-130,,,,,,,,,5
-90,-129,,,,,,,,,5
-90,-128,,,,,,,,,5
-90,-127,,,,,,,,,5
-90,-126,,,,,,,,,5
-90,-125,,,,,,,,,5
-90,-124,,,,,,,,,5
-90,-123,,,,,,,,,5
-90,-122,,,,,,,,,5
-90,-121,,,,,,,,,5
-90,-120,,,,,,,,,5
-90,-119,,,,,,,,,5
-90,-118,,,,,,,,,5
-90,-117,,,,,,,,,5
-90,-116,,,,,,,,,5
-90,-115,,,,,,,,,5
-90,-114,,,,,,,,,5
-90,-113,,,,,,,,,5
-90,-112,,,,,,,,,5
-90,-111,,,,,,,,,5
-90,-110,,,,,,,,,5
-90,-109,,,,,,,,,5
-90,-108,,,,,,,,,5
-90,-107,,,,,,,,,5
-90,-106,,,,,,,,,5
-90,-105,,,,,,,,,5
-90,-104,,,,,,,,,5
-90,-103,,,,,,,,,5
-90,-102,,,,,,,,,5
-90,-101,,,,,,,,,5
-90,-100,,,,,,,,,5
-90,-99,,,,,,,,,5
-90,-98,,,,,,,,,5
-90,-97,,,,,,,,,5
-90,-96,,,,,,,,,5
-90,-95,,,,,,,,,5
-90,-94,,,,,,,,,5
-90,-93,,,,,,,,,5
-90,-92,,,,,,,,,5
-90,-91,,,,,,,,,5
-90,-90,,,,,,,,,5
-90,-89,,,,,,,,,5
-90,-88,,,,,,,,,5
-90,-87,,,,,,,,,5
-90,-86,,,,,,,,,5
-90,-85,,,,,,,,,5
-90,-84,,,,,,,,,5
-90,-83,,,,,,,,,5
-90,-82,,,,,,,,,5
-90,-81,,,,,,,,,5
-90,-80,,,,,,,,,5
-90,-79,,,,,,,,,5
-90,-78,,,,,,,,,5
-90,-77,,,,,,,,,5
-90,-76,,,,,,,,,5
-90,-75,,,,,,,,,5
