lat	lon	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	temperature	si	phosphate	din	irradiance	FID
-64	-170	1130			-0.6315789497	59.4201965278	2.1686510394	30.9645574639	0.1071331886	ANTA
-64	175	96109			1.2333714768	26.2795872332	1.4217918061	24.3556709987	33.0180206299	ANTA
-63	-142	796			-0.5434544972	43.4837864757	1.6832588307	24.9067358697	3.8337122097	ANTA
-63	-142	1180			-0.7697414662	43.9506967232	1.7141573628	25.0915401046	1.2646950786	ANTA
-63	-66	441			1.9308464135	31.7241718652	1.5647919513	23.6417335978	21.402892864	APLR
-63	-66	30988			0.9213123759	37.4103509527	1.8022414254	25.2712203761	4.5008938846	APLR
-63	-66	5812			-0.5355126154	52.3709653756	2.1130441119	30.1512332494	0.7959458957	APLR
-63	172	119403			2.0145568265	23.2168212942	1.5509794539	24.2310961081	33.707485199	ANTA
-62	-170	2906			1.7918004066	18.9581774532	1.4037856069	22.2798173758	19.6695007263	ANTA
-62	-170	2199			1.2234844858	23.8794158668	1.6030463733	24.068922523	3.8828692612	ANTA
-62	-170	846			0.7523853125	35.1763399653	1.9437507873	27.3691583596	0.7665000708	ANTA
-62	-170	8630			0.3428181796	40.0928096051	2.0761720192	29.0366369077	0.0571593511	ANTA
-62	-170	1018			0.7709462217	43.7453943494	2.1413305962	30.6965878732	0.0022274407	ANTA
-62	-140	710			-0.0430030769	41.8824202123	1.791528044	24.8432702336	13.4859124773	ANTA
-62	-140	800			-0.965227091	43.5121371976	1.8397776745	25.2500111642	0.257077597	ANTA
-62	-68	61329			2.7994704088	14.9571884189	1.5814603852	24.717624505	23.6746257949	ANTA
-62	-68	288986			2.9247411155	15.2040863461	1.590307618	25.0949755226	20.4842063527	ANTA
-62	-68	181289			1.8256134019	19.7348059262	1.7304848458	25.7799262038	6.4343887123	ANTA
-62	-68	65706			0.325457066	26.5548518399	1.8539022408	27.7634750424	3.1202356074	ANTA
-62	-68	15749			-0.0870954112	31.9673396297	2.0001867529	29.3582168447	1.5130994848	ANTA
-62	-67	2982			2.6611020102	17.998402654	1.5859584783	24.4241060965	24.312066315	ANTA
-61	-170	104083			2.3596882736	13.6853772435	1.4491412265	22.2991479647	12.0650276633	ANTA
-61	-170	153939			1.8914911514	18.1991543957	1.6400989981	24.0416293659	3.827884103	ANTA
-61	-170	37711			1.4879107454	26.0909972267	1.8735102901	26.2869148011	1.2144768429	ANTA
-61	-170	14251			1.0052095527	30.6728217868	2.0001521314	27.7672469704	0.1222503622	ANTA
-61	-170	17374			1.1055900287	33.4774853717	2.0451147446	29.1076251944	0.0069314852	ANTA
-61	-116	69592			3.2223253446	3.4948965269	1.5695577003	23.0293142865	11.4108029715	ANTA
-61	-116	69387			3.132402649	4.4425606633	1.5835865971	20.6925565977	3.7082549499	ANTA
-61	-116	132744			2.9046000574	7.5434990001	1.6641811068	21.1623203993	1.2050996593	ANTA
-61	-116	77228			2.4026483406	23.1453888782	1.933478872	23.8822599429	0.1272710775	ANTA
-61	-69	216317.666666667			3.7091922233	5.978959928	1.5624256319	24.0724590594	25.1950128638	ANTA
-61	-68	236584			3.6560957897	8.2039720263	1.5886823191	24.5810437633	21.763966186	ANTA
-61	-68	76776			2.6356678363	11.7077096312	1.6766470073	24.8703859057	6.8090865951	ANTA
-61	-68	86127			0.6456638352	22.216991784	1.922503726	28.193934734	1.5932259667	ANTA
-61	-68	5072			1.2971771201	36.6311367493	2.1401859766	31.6799718404	0.1803267493	ANTA
-61	174	86970			4.0515624113	2.0793411391	1.5063980777	18.3682359091	33.7179908752	ANTA
-60	-172	312074			3.5082273174	7.3751953176	1.4569152595	21.8071553826	19.4398315751	ANTA
-60	-172	269940			3.3555227947	8.1793076515	1.4880835864	22.0339577693	9.8929780486	ANTA
-60	-172	351038			2.911735957	11.0356290285	1.6220698562	23.5183234669	2.5621003775	ANTA
-60	-172	113604			2.4755240955	15.9174312412	1.7943787483	25.0367270779	0.6635371384	ANTA
-60	-172	2669			2.0825274074	17.6980535498	1.8483656426	25.4174358432	0.1718439831	ANTA
-60	-172	10273			1.9436895566	18.6636562742	1.9087813344	25.8470370355	0.0445044487	ANTA
-60	-172	10724			1.7197747725	20.7539893732	1.8917240658	27.0185382613	0.0015190643	ANTA
-60	-69	272981			4.6249537259	2.2965130034	1.5070894422	22.7424116443	25.2312831092	ANTA
-60	-69	70835			4.6832553436	2.5820876724	1.5381313631	23.4330434516	21.5868498069	ANTA
-60	-69	48459			4.6304847074	3.3831610178	1.5440833116	23.380451253	15.8011660268	ANTA
-60	-69	286268			3.8941824575	4.8509171878	1.585410838	23.6101968906	6.1971033033	ANTA
-60	-69	197742			2.6055683317	9.353632009	1.7110445149	25.1907111733	2.8407852339	ANTA
-60	-69	35585			1.9786238507	12.1434535732	1.8088170703	26.363028119	1.3022311151	ANTA
-60	-56	7312			2.3214879863	34.1388492336	1.6328696408	24.1145581223	21.6403820895	APLR
-60	-56	1383			0.4188048569	50.4547119283	1.9605388775	26.7852859642	1.1163426679	APLR
-60	-56	5847			0.1131241095	56.2821167865	2.0638952738	27.619152818	0.3872467115	APLR
-60	-34	102950			0.8405022959	59.0735747802	1.6791253845	20.3551130374	10.2835712776	ANTA
-59	-173	143669			4.2202880039	5.0451896567	1.4798612167	21.3912007661	20.7854030592	ANTA
-59	-173	160748			4.1085018748	5.8747982488	1.5110795097	21.6512355769	10.9381047241	ANTA
-59	-173	196497			3.7239904952	7.2063487709	1.5945061384	22.8187902285	3.0290701431	ANTA
-59	-173	136050			3.292237646	10.0459013155	1.724023669	23.8445071789	0.8388350782	ANTA
-59	-173	51365			2.9253236376	11.1165207495	1.7527040878	23.977931416	0.2322971259	ANTA
-59	-173	6415			2.7926697866	11.5744987805	1.8279966275	24.3324014984	0.0643296354	ANTA
-59	-173	7343			2.460988021	12.9374955968	1.7751977065	25.3928788076	0.0025961467	ANTA
-59	-136	119721			1.900125687	24.5280967223	1.8198348404	24.3310512252	12.0485902625	ANTA
-59	-136	125799			1.7165826086	24.5043428061	1.7874235622	24.9215191982	4.0428494023	ANTA
-59	-136	118219			1.5849196748	23.1523916728	1.7683045896	25.1454696505	1.7823831192	ANTA
-59	-136	3962			1.0520934541	28.7495508152	1.8556072626	25.0847101938	0.1527360481	ANTA
-59	-69	232522			5.6433398547	0.7066705908	1.4243490186	21.0411344224	25.3034252369	ANTA
-59	-69	430167			5.6695368313	0.9672867422	1.4570973446	21.7455039386	21.6323422417	ANTA
-59	-69	271232			5.0730251522	2.2204628643	1.4921170109	21.9465227054	6.1730158803	ANTA
-59	-69	150140			4.0208782704	5.3544211574	1.618268255	23.2747282342	2.8191523733	ANTA
-59	-69	13834			3.3471661986	7.0560553731	1.7019333301	24.4220157171	1.2874776702	ANTA
-59	-57	49062.5			3.3479892507	18.5786826136	1.5726886134	23.8203677664	22.8998935525	ANTA
-59	-57	676			2.3780825262	26.8179514582	1.7221289935	24.8041257548	3.1617782917	ANTA
-59	-57	105526			0.6191699711	41.6675294849	2.0109463651	27.4067825272	0.3503359385	ANTA
-59	174	138620			5.7491958373	0.1002195639	1.4559651931	14.921047167	36.3985137939	ANTA
-58	-175	71396			4.9247452674	3.7902067975	1.4948973371	20.6014266666	13.2666380724	ANTA
-58	-175	76434			4.6155809817	3.7117743297	1.5255281536	21.5830559211	4.3546948847	ANTA
-58	-175	65378			4.1957225317	4.9912851532	1.6223470011	22.0108643697	1.4294026441	ANTA
-58	-175	83536			3.8509916695	5.6499104229	1.6336402921	22.050592877	0.4691928994	ANTA
-58	-175	2560			3.4214965057	6.6085394115	1.6217753723	23.4577880122	0.0095069324	ANTA
-58	-152	982			1.2068323625	41.5005790469	1.8689919235	25.4278573848	2.0736219641	ANTA
-58	-152	1022			0.5717051585	50.4088610904	1.7824374871	27.0043591731	0.2915066576	ANTA
-58	-136	266969			2.6875652684	19.4453052673	1.761727466	23.0086187361	11.5980351772	ANTA
-58	-136	301837			2.5080990296	19.7238502609	1.7541773637	23.6414435375	3.6686929022	ANTA
-58	-136	155025			2.3887108205	18.7548570779	1.7355939561	24.1057624995	1.5474141465	ANTA
-58	-136	9644			1.8542612725	25.1217677652	1.8291368906	24.3738332998	0.1161160284	ANTA
-58	-136	1975			1.554374015	31.0357871324	1.816440665	26.3418590147	0.0065344572	ANTA
-58	-92	56701			5.3174706161	5.2709413278	1.3148073063	21.2233884927	22.715844161	ANTA
-58	-92	22423			5.2889583995	5.0636266816	1.3309899695	21.2388619997	12.2688617855	ANTA
-58	-92	24962			5.1348917621	5.206797519	1.3892328814	21.4761014891	3.5789452993	ANTA
-58	-92	36883			5.03483382	7.4892834675	1.4896921258	21.9002503811	1.0440128578	ANTA
-58	-92	25431			4.9949286177	10.0500157266	1.4848633093	21.8333229502	0.4143992277	ANTA
-58	-92	2376			4.7277788153	8.7622539147	1.4763598462	21.9369125626	0.088839769	ANTA
-58	-92	38520			4.4654610038	15.8267040968	1.5373565892	23.8369576516	0.0040830471	ANTA
