Gephyrocapsa huxleyi HET,lat,lon
1130.0,-64,-170
96109.0,-64,175
796.0,-63,-142
1180.0,-63,-142
441.0,-63,-66
30988.0,-63,-66
5812.0,-63,-66
455.0,-63,-65
455.0,-63,-64
12796.0,-63,-64
2316.0,-63,-64
9597.0,-63,-64
119403.0,-63,172
2906.0,-62,-170
2199.0,-62,-170
846.0,-62,-170
8630.0,-62,-170
1018.0,-62,-170
710.0,-62,-140
800.0,-62,-140
61329.0,-62,-68
288986.0,-62,-68
181289.0,-62,-68
65706.0,-62,-68
15749.0,-62,-68
2982.0,-62,-67
104083.0,-61,-170
153939.0,-61,-170
37711.0,-61,-170
14251.0,-61,-170
17374.0,-61,-170
69592.0,-61,-116
69387.0,-61,-116
132744.0,-61,-116
77228.0,-61,-116
216317.66666666663,-61,-69
236584.0,-61,-68
76776.0,-61,-68
86127.0,-61,-68
5072.0,-61,-68
72340.0,-61,-56
457.0,-61,-55
918.0,-61,-55
86970.0,-61,174
312074.0,-60,-172
269940.0,-60,-172
351038.0,-60,-172
113604.0,-60,-172
2669.0,-60,-172
10273.0,-60,-172
10724.0,-60,-172
272981.0,-60,-69
70835.0,-60,-69
48459.0,-60,-69
286268.0,-60,-69
197742.0,-60,-69
35585.0,-60,-69
7312.0,-60,-56
1383.0,-60,-56
5847.0,-60,-56
102950.0,-60,-34
143669.0,-59,-173
160748.0,-59,-173
196497.0,-59,-173
136050.0,-59,-173
51365.0,-59,-173
6415.0,-59,-173
7343.0,-59,-173
119721.0,-59,-136
125799.0,-59,-136
118219.0,-59,-136
3962.0,-59,-136
232522.0,-59,-69
430167.0,-59,-69
271232.0,-59,-69
150140.0,-59,-69
13834.0,-59,-69
49062.5,-59,-57
676.0,-59,-57
105526.0,-59,-57
138620.0,-59,174
71396.0,-58,-175
76434.0,-58,-175
65378.0,-58,-175
83536.0,-58,-175
2560.0,-58,-175
982.0,-58,-152
1022.0,-58,-152
266969.0,-58,-136
301837.0,-58,-136
155025.0,-58,-136
9644.0,-58,-136
1975.0,-58,-136
56701.0,-58,-92
22423.0,-58,-92
24962.0,-58,-92
36883.0,-58,-92
25431.0,-58,-92
2376.0,-58,-92
38520.0,-58,-92
65490.5,-58,-69
39478.0,-58,-69
70407.0,-58,-69
28002.0,-58,-69
137401.0,-58,-58
30137.0,-58,-57
7403.0,-58,-57
32447.0,-58,-57
2390.0,-58,-26
50900.0,-58,-19
33903.0,-58,174
153684.0,-57,-153
72857.0,-57,-153
76161.0,-57,-153
10479.0,-57,-153
6254.0,-57,-153
482393.0,-57,-116
313550.0,-57,-116
371436.0,-57,-116
113354.0,-57,-116
29807.0,-57,-97
62054.0,-57,-97
70976.0,-57,-97
33314.0,-57,-97
8444.0,-57,-97
21626.0,-57,-69
24803.0,-57,-69
17236.5,-57,-69
5681.5,-57,-69
7345.0,-57,-68
187686.5,-57,-58
260498.0,-57,-58
141846.0,-57,-58
135538.0,-57,-58
90400.0,-57,-16
161690.0,-57,57
144150.0,-57,57
275723.0,-57,57
20409.0,-57,57
124495.0,-57,57
1485.0,-57,57
85562.66666666667,-56,-59
2111.0,-56,-59
457.0,-56,-59
82359.0,-56,-58
166600.0,-56,-13
42824.5,-56,174
388761.0,-55,-155
33277.0,-55,-155
15531.0,-55,-155
5311.0,-55,-155
1301.0,-55,-155
17783.0,-55,-126
31105.0,-55,-126
36204.0,-55,-126
11930.0,-55,-126
1851.0,-55,-126
60425.0,-55,-81
30421.0,-55,-81
52838.0,-55,-81
16756.0,-55,-81
55372.0,-55,-59
131500.0,-55,74
105740.0,-55,88
146078.0,-54,-119
138983.0,-54,-119
124264.0,-54,-119
3298.0,-54,-119
156582.5,-54,-59
177885.0,-54,-59
253905.0,-54,-59
64894.0,-54,-59
18362.0,-54,-59
28160.0,-54,-18
141700.0,-54,-10
155000.0,-54,-7
52678.0,-54,174
140196.0,-53,-180
185490.0,-53,-180
204541.0,-53,-180
18537.0,-53,-180
1866.0,-53,-180
17000.0,-53,-5
215100.0,-53,-4
361455.0,-53,57
325144.0,-53,57
314328.0,-53,57
63409.0,-53,57
153371.0,-53,57
61914.0,-53,57
39338.0,-52,-58
18156.0,-52,-58
10591.0,-52,-58
242370.0,-52,-57
564690.0,-52,-38
440400.0,-52,-3
8866.0,-52,175
1500.0,-51,-58
63540.0,-51,-58
24210.0,-51,-58
3026.0,-51,-58
75830.0,-51,-11
410000.0,-51,-2
266850.0,-51,-1
60100.0,-50,0
99100.0,-50,1
42117.0,-50,2
29248.0,-50,2
50306.0,-50,2
38607.0,-50,2
40947.0,-50,2
43286.5,-50,2
22228.5,-50,2
32757.5,-50,2
29248.0,-50,2
53816.0,-50,2
21058.5,-50,2
32757.5,-50,2
5849.5,-50,2
4679.5,-50,2
28690.0,-50,71
79840.0,-50,94
47100.0,-50,174
43877.0,-49,-56
25721.0,-49,-56
22695.0,-49,-56
21400.0,-49,2
330930.0,-49,2
124501.0,-49,2
86018.0,-49,2
23715.0,-49,2
2365.0,-49,2
55300.0,-49,3
738575.0,-49,57
739307.0,-49,57
167354.0,-49,57
136525.0,-49,57
109476.0,-49,57
97323.0,-49,57
35034.0,-49,174
40851.0,-48,-56
24964.5,-48,-56
24210.0,-48,-56
89400.0,-48,3
86200.0,-48,4
11280.0,-48,64
40947.0,-48,174
1635520.0,-47,-60
83215.0,-47,-57
393380.0,-47,-57
56737.5,-47,-57
48160.0,-47,-57
62500.0,-47,-4
63600.0,-47,5
36000.0,-47,6
138260.0,-47,57
71839.0,-47,173
18850.0,-46,-49
125142.0,-46,2
134104.0,-46,2
432740.0,-46,2
186104.0,-46,2
2619.0,-46,2
26500.0,-46,7
33300.0,-46,8
472130.0,-46,51
706282.0,-46,57
361515.0,-46,57
49002.0,-46,57
21691.0,-46,57
34555.0,-46,57
11135.0,-46,57
27183.0,-45,-22
16084.0,-45,-22
12074.0,-45,-22
